last_name,name,second_name,birth_date,nationality,info
Лев,Толстой,Николаевич,1828-09-09,Россия,Известный писатель.
Федор,Достоевский,Михайлович,1821-11-11,Россия,Известный писатель.
Александр,Пушкин,Сергеевич,1799-06-06,Россия,Известный писатель.
Михаил,Булгаков,Афанасьевич,1891-05-15,Россия,Известный писатель.
Антон,Чехов,Павлович,1860-01-29,Россия,Известный писатель.
Иван,Тургенев,Сергеевич,1818-11-09,Россия,Известный писатель.
Владимир,Набоков,Владимирович,1899-04-22,Россия-США,Известный писатель.
Габриэль,Гарсия,Маркес,1927-03-06,Колумбия,Известный писатель.
Эрнест,Хемингуэй,Миллер,1899-07-21,США,Известный писатель.
Джек,Лондон,Гриффит,1876-01-12,США,Известный писатель.
Марк,Твен,Лэнгхорн,1835-11-30,США,Известный писатель.
Фрэнсис,Фицджеральд,Скотт,1896-09-24,США,Известный писатель.
Джордж,Оруэлл,Артур,1903-06-25,Великобритания,Известный писатель.
Чарльз,Диккенс,Джон,1812-02-07,Великобритания,Известный писатель.
Уильям,Шекспир,Неизвестно,1564-04-23,Великобритания,Известный писатель.
Артур,Конан,Дойл,1859-05-22,Великобритания,Известный писатель.
Джон,Толкин,Рональд,1892-01-03,Великобритания,Известный писатель.
Жюль,Верн,Габриэль,1828-02-08,Франция,Известный писатель.
Виктор,Гюго,Мари,1802-02-26,Франция,Известный писатель.
Альбер,Камю,Неизвестно,1913-11-07,Франция,Известный писатель.
Марсель,Пруст,Валантен,1871-07-10,Франция,Известный писатель.
Оноре,де,Бальзак,1799-05-20,Франция,Известный писатель.
Иоганн,Гёте,Вольфганг,1749-08-28,Германия,Известный писатель.
Герман,Гессе,Карл,1877-07-02,Германия,Известный писатель.
Франц,Кафка,Неизвестно,1883-07-03,Австрия,Известный писатель.
Томас,Манн,Неизвестно,1875-06-06,Германия,Известный писатель.
Генрих,Гейне,Неизвестно,1797-12-13,Германия,Известный писатель.
Федерико,Гарсия,Лорка,1898-06-05,Испания,Известный писатель.
Мигель,де,Сервантес,1547-09-29,Испания,Известный писатель.
Хорхе,Луис,Борхес,1899-08-24,Аргентина,Известный писатель.
